weatheid,temp,humidity,winddirecttion,windspeed,waterspeed,waterdirecttion,watertemp,gathertime,Latitude,Longitude
29,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.28000500000014
30,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.29000500000015
31,17,23,35,26,29,35,27,20231028 09:10;11,37.000005,127.30000500000016
32,17,12,35,26,29,35,27,20231028 09:10;11,37.000005,127.31000500000016
33,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.32000500000017
34,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.33000500000017
35,17,23,35,26,29,35,27,20231028 09:10;11,37.000005,127.34000500000018
36,17,12,35,26,29,35,27,20231028 09:10;11,37.000005,127.35000500000018
37,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.36000500000019
38,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.37000500000019
39,17,23,35,26,29,35,27,20231028 09:10;11,37.000005,127.3800050000002
40,17,12,35,26,29,35,27,20231028 09:10;11,37.000005,127.3900050000002
41,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.4000050000002
42,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.41000500000021
43,17,23,35,26,29,35,27,20231028 09:10;11,37.000005,127.42000500000022
44,17,12,35,26,29,35,27,20231028 09:10;11,37.000005,127.43000500000022
45,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.44000500000023
46,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.45000500000023
47,17,23,35,26,29,35,27,20231028 09:10;11,37.000005,127.46000500000024
48,17,12,35,26,29,35,27,20231028 09:10;11,37.000005,127.47000500000024
49,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.48000500000025
50,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.49000500000025
51,17,23,35,26,29,35,27,20231028 09:10;11,37.000005,127.50000500000026
52,17,12,35,26,29,35,27,20231028 09:10;11,37.000005,127.51000500000026
53,7,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.52000500000027
54,7,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.53000500000027
55,7,23,35,26,29,35,27,20231028 09:10;11,37.000005,127.54000500000028
56,7,12,35,26,29,35,27,20231028 09:10;11,37.000005,127.55000500000028
57,7,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.56000500000029
58,7,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.5700050000003
59,7,23,35,26,29,35,27,20231028 09:10;11,37.000005,127.5800050000003
60,7,12,35,26,29,35,27,20231028 09:10;11,37.000005,127.5900050000003
61,7,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.60000500000031
62,7,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.61000500000031
63,7,23,35,26,29,35,27,20231028 09:10;11,37.000005,127.62000500000032
64,7,12,35,26,29,35,27,20231028 09:10;11,37.000005,127.63000500000032
65,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.64000500000033
66,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.65000500000033
67,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.66000500000034
68,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.67000500000034
69,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.68000500000035
70,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.69000500000035
71,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.70000500000036
72,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.71000500000036
73,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.72000500000037
74,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.73000500000038
75,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.74000500000038
76,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.75000500000039
77,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.76000500000039
78,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.7700050000004
79,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.7800050000004
80,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.7900050000004
81,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.80000500000041
82,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.81000500000042
83,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.82000500000042
84,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.83000500000043
85,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.84000500000043
86,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.85000500000044
87,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.86000500000044
88,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.87000500000045
89,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.88000500000045
90,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.89000500000046
91,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.90000500000046
92,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.91000500000047
93,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.92000500000047
94,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.93000500000048
95,21,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.94000500000048
96,21,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.95000500000049
97,21,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.96000500000049
98,21,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.9700050000005
99,21,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.9800050000005
100,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,127.99000500000051
101,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.0000050000005
102,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.0100050000005
103,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.02000500000048
104,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.03000500000047
105,31,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.04000500000046
106,31,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.05000500000045
107,31,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.06000500000044
108,31,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.07000500000044
109,31,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.08000500000043
110,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.09000500000042
111,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.1000050000004
112,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.1100050000004
113,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.1200050000004
114,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.13000500000038
115,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.14000500000037
116,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.15000500000036
127,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.16000500000035
118,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.17000500000034
119,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.18000500000034
120,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.19000500000033
121,7,14,35,26,29,35,27,20231028 09:10;11,37.000005,128.20000500000032
122,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.2100050000003
123,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.2200050000003
124,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.2300050000003
125,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.24000500000028
126,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.25000500000027
127,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.26000500000026
128,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.27000500000025
129,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.28000500000024
130,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.29000500000024
131,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.30000500000023
132,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.31000500000022
133,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.3200050000002
134,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.3300050000002
135,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.3400050000002
136,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.35000500000018
137,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.36000500000017
138,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.37000500000016
139,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.38000500000015
140,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.39000500000014
141,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.40000500000014
142,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.41000500000013
143,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.42000500000012
144,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.4300050000001
145,7,14,35,26,29,35,4.2,20231028 09:10;11,37.000005,128.4400050000001
146,7,14,35,26,29,35,2.8,20231028 09:10;11,37.000005,128.4500050000001
147,7,14,35,26,29,35,2.8,20231028 09:10;11,37.000005,128.46000500000008
148,7,14,35,26,29,35,2.8,20231028 09:10;11,37.000005,128.47000500000007
149,7,14,35,26,29,35,2.8,20231028 09:10;11,37.000005,128.48000500000006
150,7,14,35,26,29,35,2.8,20231028 09:10;11,37.000005,128.49000500000005
151,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.000005
152,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.010005
153,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.02000500000001
154,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.03000500000002
155,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.04000500000002
156,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.05000500000003
157,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.06000500000003
158,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.07000500000004
159,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.08000500000004
160,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.09000500000005
161,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.10000500000005
162,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.11000500000006
163,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.12000500000006
164,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.13000500000007
165,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.14000500000007
166,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.15000500000008
167,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.16000500000008
168,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.17000500000009
169,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.1800050000001
170,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.1900050000001
171,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.2000050000001
172,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.21000500000011
173,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.22000500000011
174,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.23000500000012
175,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.24000500000012
176,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.25000500000013
177,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.26000500000013
178,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.27000500000014
179,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.28000500000014
180,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.29000500000015
181,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.30000500000016
182,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.31000500000016
183,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.32000500000017
184,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.33000500000017
185,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.34000500000018
186,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.35000500000018
187,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.36000500000019
188,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.37000500000019
189,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.3800050000002
190,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.3900050000002
191,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.4000050000002
192,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.41000500000021
193,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.42000500000022
194,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.43000500000022
195,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.44000500000023
196,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.45000500000023
197,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.46000500000024
198,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.47000500000024
199,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.48000500000025
200,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.49000500000025
201,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.50000500000026
202,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.51000500000026
203,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.52000500000027
204,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.53000500000027
205,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.54000500000028
206,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.55000500000028
207,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.56000500000029
208,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.5700050000003
209,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.5800050000003
210,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.5900050000003
211,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.60000500000031
212,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.61000500000031
213,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.62000500000032
214,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.63000500000032
215,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.64000500000033
216,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.65000500000033
227,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.66000500000034
218,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.67000500000034
219,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.68000500000035
220,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.69000500000035
221,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.70000500000036
222,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.71000500000036
223,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.72000500000037
224,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.73000500000038
225,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.74000500000038
226,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.75000500000039
227,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.76000500000039
228,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.7700050000004
229,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.7800050000004
230,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.7900050000004
231,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.80000500000041
232,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.81000500000042
233,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.82000500000042
234,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.83000500000043
235,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.84000500000043
236,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.85000500000044
237,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.86000500000044
238,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.87000500000045
239,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.88000500000045
240,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.89000500000046
241,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.90000500000046
242,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.91000500000047
243,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.92000500000047
244,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.93000500000048
245,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.94000500000048
246,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.95000500000049
247,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.96000500000049
248,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.9700050000005
249,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.9800050000005
250,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,127.99000500000051
251,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.0000050000005
252,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.0100050000005
253,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.02000500000048
254,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.03000500000047
255,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.04000500000046
256,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.05000500000045
257,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.06000500000044
258,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.07000500000044
259,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.08000500000043
260,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.09000500000042
261,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.1000050000004
262,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.1100050000004
263,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.1200050000004
264,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.13000500000038
265,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.14000500000037
266,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.15000500000036
267,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.16000500000035
268,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.17000500000034
269,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.18000500000034
270,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.19000500000033
271,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.20000500000032
272,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.2100050000003
273,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.2200050000003
274,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.2300050000003
275,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.24000500000028
276,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.25000500000027
277,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.26000500000026
278,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.27000500000025
279,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.28000500000024
280,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.29000500000024
281,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.30000500000023
282,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.31000500000022
283,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.3200050000002
284,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.3300050000002
285,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.3400050000002
286,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.35000500000018
287,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.36000500000017
288,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.37000500000016
289,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.38000500000015
290,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.39000500000014
291,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.40000500000014
292,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.41000500000013
293,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.42000500000012
294,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.4300050000001
295,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.4400050000001
296,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.4500050000001
297,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.46000500000008
298,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.47000500000007
299,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.48000500000006
300,7,14,35,26,29,35,2.8,20231028 09:10;11,37.010005,128.49000500000005
301,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.000005
302,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.010005
303,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.02000500000001
304,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.03000500000002
305,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.04000500000002
306,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.05000500000003
307,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.06000500000003
308,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.07000500000004
309,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.08000500000004
310,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.09000500000005
311,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.10000500000005
312,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.11000500000006
313,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.12000500000006
314,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.13000500000007
315,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.14000500000007
316,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.15000500000008
327,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.16000500000008
318,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.17000500000009
319,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.1800050000001
320,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.1900050000001
321,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.2000050000001
322,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.21000500000011
323,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.22000500000011
324,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.23000500000012
325,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.24000500000012
326,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.25000500000013
327,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.26000500000013
328,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.27000500000014
329,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.28000500000014
330,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.29000500000015
331,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.30000500000016
332,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.31000500000016
333,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.32000500000017
334,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.33000500000017
335,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.34000500000018
336,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.35000500000018
337,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.36000500000019
338,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.37000500000019
339,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.3800050000002
340,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.3900050000002
341,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.4000050000002
342,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.41000500000021
343,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.42000500000022
344,7,14,35,26,29,35,2.8,20231028 09:10;11,37.020005,127.43000500000022
